,태백특A,해남,행남,태백A,태백B,태백C,압해A,압해B
L,90.18,93.67,90.18,93.51,90.72,83.21,92.2,88.41
a,-0.34,0.35,0.37,0.26,0.96,3.97,0.62,2.56
b,3.95,2.26,5.86,3.31,6.28,16.04,4.86,11.91
