온도,순번,sample name,Absorption(%),Contraction rate(%)
1200℃,1,TB-S,19.51754,9.85
1200℃,2,TB-A,7.67194,14.12
1200℃,3,TB-B,7.59749,14.06
1200℃,4,TB-C,6.4111,14.73
1200℃,5,HN,21.00363,2.84
1200℃,6,AH-A,3.27458,15.11
1200℃,7,AH-B,3.08104,16.52
1200℃,8,HNJK,21.20708,9.26
1250℃,9,TB-S,18.10872,10.86
1250℃,10,TB-A,7.35287,16.33
1250℃,11,TB-B,6.47118,15.16
1250℃,12,TB-C,6.4111,14.53
1250℃,13,HN,21.00363,2.86
1250℃,14,AH-A,3.27458,16.54
1250℃,15,AH-B,3.08104,17.47
1250℃,16,HNJK,21.20708,10.42
