시료명,Mean Size(㎛),D10(㎛),D50(㎛),D90(㎛)
태백특A(정제),5.7,1.9,7.3,13.9
해남(정제),9.2,3.3,7.5,16.4
행남자기(정제),10,2.2,7.4,21.4
태백A급,13.7,2.4,12,26.9
태백B급,8.8,1.8,7.3,17.8
태백C급,11.8,3.2,9.4,23.2
압해A급,18.8,2.9,15.3,38.6
압해B급,7.9,2.1,6.2,15.4
