,KM-85,KC-60,KC-009,WA,PA,PB,WC-1,PC,WC-2
산화 1200 L,94.86,95.45,97.14,91.7,90.64,88.25,90.3,82.03,88.15
산화 1200 a,1.21,0.61,0.06,1.07,2.14,-1.36,-3.09,-0.53,-3.49
산화 1200 b,2.87,3.84,3.94,6.69,6.4,16.06,13.1,17.48,15.91
산화 1250 L,94.86,94.55,97.03,92.39,91.64,91.08,92.26,87.96,88.15
산화 1250 a,0.82,0.46,-0.1,0.7,1.16,-3.83,-4.05,-3.72,-3.49
산화 1250 b,3.03,4.65,4.27,7.07,6.83,15.92,15.11,18.71,15.91
환원 1200 L,95.89,95.71,96.42,91.88,91.79,88.25,92.36,86.4,89.32
환원 1200 a,0.32,0.35,-0.01,0.94,0.58,-3.51,-4.04,-2.4,-3.49
환원 1200 b,3.91,3.75,5.01,9.36,9.55,16.91,17.51,20.82,15.91
환원 1250 L,95.67,94.75,93.42,90.11,91.65,88.25,92.45,86.98,89.42
환원 1250 a,0.28,0.32,0.78,0.59,1.09,-3.51,-3.9,-2.8,-3.73
환원 1250 b,4.56,4.62,8.27,9.78,10.42,16.91,16.68,19.7,18.96
