,KM-85,KC-60,KC-009,WA,PA,PB,WC-1,PC,WC-2
L,95.89,95.71,96.42,91.88,91.79,88.25,92.36,86.4,89.32
a,0.32,0.35,-0.01,0.94,0.58,-3.51,-4.04,-2.4,-3.49
b,3.91,3.75,5.01,9.36,9.55,16.91,17.51,20.82,15.91
