,KM-85,KC-60,KC-009,WA,PA,PB,WC-1,PC,WC-2
L,94.86,95.45,97.14,91.7,90.64,88.25,90.3,82.03,88.15
a,1.21,0.61,0.06,1.07,2.14,-1.36,-3.09,-0.53,-3.49
b,2.87,3.84,3.94,6.69,6.4,16.06,13.1,17.48,15.91
