,태백특A,해남,행남,태백A,태백B,태백C,압해A,압해B
L,96.03,95.92,95.59,93.78,91.7,82.1,92.79,89.15
a,0.5,0.24,0.73,0.78,1.74,5.65,1.6,2.93
b,2.96,3.38,2.4,4.98,5.71,10.09,4.89,7.86
