,KM-85,KC-60,KC-009,WA,PA,PB,WC-1,PC,WC-2
L,95.67,94.75,93.42,90.11,91.65,88.25,92.45,86.98,89.42
a,0.28,0.32,0.78,0.59,1.09,-3.51,-3.9,-2.8,-3.73
b,4.56,4.62,8.27,9.78,10.42,16.91,16.68,19.7,18.96
