온도,순번,sample name,Absorption(%),Shinkage rate(%)
1200,1,KM-85,15.64,8.3
1200,2,LKC-60,6.3,17.22
1200,3,KC-009,13.63,14.92
1200,4,WA,17.46,5.96
1200,5,PA,12.08,14.47
1200,6,PB,8.12,12.19
1200,7,PC,12.46,3.98
1200,8,WC-1,8.5,12.26
1200,9,WC-2,13.64,4.42
1250,10,KM-85,10.76,10.5
1250,11,LKC-60,0.94,18.01
1250,12,KC-009,9.7,18.01
1250,13,WA,15.2,7.21
1250,14,PA,9.51,15.69
1250,15,PB,6.13,13.18
1250,16,PC,11.14,4.64
1250,17,WC-1,6.41,13.41
1250,18,WC-2,9.9,5.38
