,태백특A,해남,행남,태백A,태백B,태백C,압해A,압해B
L,96.94,97.56,96.11,91.43,88.64,85.18,86.17,84
a,0.25,0.11,0.06,0.28,0.6,3.12,0.34,0.3
b,2.74,1.9,3.27,8.48,8.68,15.72,2.66,3.93
