,태백특A,해남,행남,태백A,태백B,태백C,압해A,압해B
L,,,,88.5,85.65,79.68,84.28,82.1
a,,,,1.51,2.45,5.4,2.26,4
b,,,,8.54,11.09,18.81,9.91,15.11
