,태백특A,해남,행남,태백A,태백B,태백C,압해A,압해B
L ,96.18,96.94,96.08,89.87,88.16,80.23,88.91,83
a,0.3,0.52,0.6,0.64,1.33,3.9,1.02,1.42
b,3.7,1.25,2.61,6.95,7.34,12.41,5.66,8.09
