,태백특A,해남,행남,태백A,태백B,태백C,압해A,압해B
L,96.95,97.34,96.24,96.04,93.05,82.52,92.96,91.33
a,0.47,0.57,0.61,0.58,1.47,5.76,1.34,2.3
b,2.22,1.02,2.36,3.53,4.98,9.55,5.03,7.16
