,KM-85,KC-60,KC-009,WA,PA,PB,WC-1,PC,WC-2
L,94.86,94.55,97.03,92.39,91.64,91.08,92.26,87.96,88.15
a,0.82,0.46,-0.1,0.7,1.16,-3.83,-4.05,-3.72,-3.49
b,3.03,4.65,4.27,7.07,6.83,15.92,15.11,18.71,15.91
