온도,순번,sample name,Absorption(%),Contraction rate(%)
1200,1,TB-S,15.4,8.58
1200,2,TB-A,15.90114,14.47
1200,3,TB-B,2.88964,14.18
1200,4,TB-C,5.71539,12.43
1200,5,HN,22.13966,2.99
1200,6,AH-A,2.26107,13.27
1200,7,AH-B,0.65151,15.03
1200,8,HNJK,17.81148,6.93
1250,9,TB-S,13.84076,9.57
1250,10,TB-A,0.11869,15.1
1250,11,TB-B,0.07872,15.17
1250,12,TB-C,4.01007,12.67
1250,13,HN,19.88226,2.75
1250,14,AH-A,0.10979,14.12
1250,15,AH-B,0.06633,15.42
1250,16,HNJK,16.21343,6.94
