,태백특A,해남,행남,태백A,태백B,태백C,압해A,압해B
L,96.2,97.31,96.09,86.27,83.87,84,86.75,80.94
a,0.26,0.15,0.27,0.29,0.36,3.78,0.24,0.5
b,3.33,1.95,3.12,3.29,3.71,19.11,2.21,4.91
