===== printLabels =====
1 태백특A
2 태백특A정제
3 태백A
4 태백A정제
5 태백B
6 태백B정제
7 태백C
8 태백C정제
9 압해A
10 압해A정제
11 압해B
12 압해B정제
13 해남
14 해남정제
15 행남자기
16 행남자기정제
17 KM-85
18 LKC-60
19 KC-009
20 성주WA
21 성주PA
22 대명PB
23 대명WC-1
24 대한PC
25 대한WC-2
===== printRows =====
92 element, 19, KC-009, element.al2o3, Al2O3, eq, 36.5
93 element, 20, 성주WA, element.al2o3, Al2O3, eq, 34
94 element, 21, 성주PA, element.al2o3, Al2O3, eq, 37.7
95 element, 22, 대명PB, element.al2o3, Al2O3, eq, 37.1
96 element, 23, 대명WC-1, element.al2o3, Al2O3, eq, 33.3
97 element, 24, 대한PC, element.al2o3, Al2O3, eq, 36.8
98 element, 25, 대한WC-2, element.al2o3, Al2O3, eq, 33.4
99 element, 17, KM-85, element.fe2o3, Fe2O3, eq, 0.39
100 element, 18, LKC-60, element.fe2o3, Fe2O3, eq, 0.39
101 element, 19, KC-009, element.fe2o3, Fe2O3, eq, 0.47
102 element, 20, 성주WA, element.fe2o3, Fe2O3, eq, 1.06
103 element, 21, 성주PA, element.fe2o3, Fe2O3, eq, 1.24
104 element, 22, 대명PB, element.fe2o3, Fe2O3, eq, 1.77
105 element, 23, 대명WC-1, element.fe2o3, Fe2O3, eq, 0.94
106 element, 24, 대한PC, element.fe2o3, Fe2O3, eq, 1.21
107 element, 25, 대한WC-2, element.fe2o3, Fe2O3, eq, 1.48
108 element, 17, KM-85, element.cao, CaO, eq, 0.07
109 element, 18, LKC-60, element.cao, CaO, eq, 0.09
110 element, 19, KC-009, element.cao, CaO, eq, 0.09
111 element, 20, 성주WA, element.cao, CaO, eq, 4.67
112 element, 21, 성주PA, element.cao, CaO, eq, 0.2
113 element, 22, 대명PB, element.cao, CaO, eq, 0.6
114 element, 23, 대명WC-1, element.cao, CaO, eq, 7.77
115 element, 24, 대한PC, element.cao, CaO, eq, 1.21
116 element, 25, 대한WC-2, element.cao, CaO, eq, 6.76
117 element, 17, KM-85, element.mgo, MgO, eq, 0.05
118 element, 18, LKC-60, element.mgo, MgO, eq, 0.22
119 element, 19, KC-009, element.mgo, MgO, eq, 0.02
120 element, 20, 성주WA, element.mgo, MgO, eq, 0.22
121 element, 21, 성주PA, element.mgo, MgO, eq, 0.18
122 element, 22, 대명PB, element.mgo, MgO, eq, 0.48
123 element, 23, 대명WC-1, element.mgo, MgO, eq, 0.31
124 element, 24, 대한PC, element.mgo, MgO, eq, 0.66
125 element, 25, 대한WC-2, element.mgo, MgO, eq, 0.86
126 element, 17, KM-85, element.k2o, K2O, eq, 1.13
127 element, 18, LKC-60, element.k2o, K2O, eq, 2.51
128 element, 19, KC-009, element.k2o, K2O, eq, 0.81
129 element, 20, 성주WA, element.k2o, K2O, eq, 0.51
130 element, 21, 성주PA, element.k2o, K2O, eq, 0.33
131 element, 22, 대명PB, element.k2o, K2O, eq, 0.64
132 element, 23, 대명WC-1, element.k2o, K2O, eq, 0.6
133 element, 24, 대한PC, element.k2o, K2O, eq, 0.29
134 element, 25, 대한WC-2, element.k2o, K2O, eq, 0.36
135 element, 17, KM-85, element.na2o, Na2O, eq, 0.44
136 element, 18, LKC-60, element.na2o, Na2O, eq, 0.32
137 element, 19, KC-009, element.na2o, Na2O, eq, 0.71
138 element, 20, 성주WA, element.na2o, Na2O, eq, 1.7
139 element, 21, 성주PA, element.na2o, Na2O, eq, 0.45
140 element, 22, 대명PB, element.na2o, Na2O, eq, 0.45
141 element, 23, 대명WC-1, element.na2o, Na2O, eq, 1.75
142 element, 24, 대한PC, element.na2o, Na2O, eq, 0.39
143 element, 25, 대한WC-2, element.na2o, Na2O, eq, 0.34
144 element, 17, KM-85, element.tio2, TiO2, eq, 0.02
145 element, 18, LKC-60, element.tio2, TiO2, eq, 0.01
146 element, 19, KC-009, element.tio2, TiO2, eq, 0.01
147 element, 20, 성주WA, element.tio2, TiO2, eq, 0.08
148 element, 21, 성주PA, element.tio2, TiO2, eq, 0.17
149 element, 22, 대명PB, element.tio2, TiO2, eq, 0.23
150 element, 23, 대명WC-1, element.tio2, TiO2, eq, 0.12
151 element, 24, 대한PC, element.tio2, TiO2, eq, 0.24
152 element, 25, 대한WC-2, element.tio2, TiO2, eq, 0.13
153 element, 17, KM-85, element.mno, MnO, eq, 0.03
154 element, 18, LKC-60, element.mno, MnO, eq, 0.02
155 element, 19, KC-009, element.mno, MnO, lt, 0.01
156 element, 20, 성주WA, element.mno, MnO, eq, 0.01
157 element, 21, 성주PA, element.mno, MnO, eq, 0.02
158 element, 22, 대명PB, element.mno, MnO, eq, 0.02
159 element, 23, 대명WC-1, element.mno, MnO, eq, 0.02
160 element, 24, 대한PC, element.mno, MnO, eq, 0.03
161 element, 25, 대한WC-2, element.mno, MnO, eq, 0.03
162 element, 17, KM-85, element.p2o5, P2O5, eq, 0.04
163 element, 18, LKC-60, element.p2o5, P2O5, eq, 0.19
164 element, 19, KC-009, element.p2o5, P2O5, eq, 0.15
165 element, 20, 성주WA, element.p2o5, P2O5, lt, 0.01
166 element, 21, 성주PA, element.p2o5, P2O5, eq, 0.00
167 element, 22, 대명PB, element.p2o5, P2O5, eq, 0.01
168 element, 23, 대명WC-1, element.p2o5, P2O5, eq, 0.01
169 element, 24, 대한PC, element.p2o5, P2O5, eq, 0.01
170 element, 25, 대한WC-2, element.p2o5, P2O5, eq, 0.01
171 element, 17, KM-85, element.zro2, ZrO2, lt, 0.01
172 element, 18, LKC-60, element.zro2, ZrO2, eq, 0.02
173 element, 19, KC-009, element.zro2, ZrO2, lt, 0.01
174 element, 20, 성주WA, element.zro2, ZrO2, lt, 0.01
175 element, 21, 성주PA, element.zro2, ZrO2, lt, 0.01
176 element, 22, 대명PB, element.zro2, ZrO2, lt, 0.01
177 element, 23, 대명WC-1, element.zro2, ZrO2, lt, 0.01
178 element, 24, 대한PC, element.zro2, ZrO2, lt, 0.01
179 element, 25, 대한WC-2, element.zro2, ZrO2, lt, 0.01
180 element, 17, KM-85, element.li2o, Li2O, lt, 0.01
181 element, 18, LKC-60, element.li2o, Li2O, lt, 0.01
182 element, 19, KC-009, element.li2o, Li2O, lt, 0.01
183 element, 20, 성주WA, element.li2o, Li2O, lt, 0.01
184 element, 21, 성주PA, element.li2o, Li2O, lt, 0.01
185 element, 22, 대명PB, element.li2o, Li2O, lt, 0.01
186 element, 23, 대명WC-1, element.li2o, Li2O, lt, 0.01
187 element, 24, 대한PC, element.li2o, Li2O, lt, 0.01
188 element, 25, 대한WC-2, element.li2o, Li2O, lt, 0.01
189 element, 17, KM-85, element.sro, SrO, lt, 0.01
190 element, 18, LKC-60, element.sro, SrO, lt, 0.01
191 element, 19, KC-009, element.sro, SrO, lt, 0.01
192 element, 20, 성주WA, element.sro, SrO, eq, 0.04
193 element, 21, 성주PA, element.sro, SrO, eq, 0.01
194 element, 22, 대명PB, element.sro, SrO, lt, 0.01
195 element, 23, 대명WC-1, element.sro, SrO, lt, 0.01
196 element, 24, 대한PC, element.sro, SrO, lt, 0.01
197 element, 25, 대한WC-2, element.sro, SrO, lt, 0.01
198 element, 17, KM-85, element.zno, ZnO, eq, 0.01
199 element, 18, LKC-60, element.zno, ZnO, lt, 0.01
200 element, 19, KC-009, element.zno, ZnO, eq, 0.00
201 element, 20, 성주WA, element.zno, ZnO, eq, 0.01
202 element, 21, 성주PA, element.zno, ZnO, eq, 0.01
203 element, 22, 대명PB, element.zno, ZnO, lt, 0.01
204 element, 23, 대명WC-1, element.zno, ZnO, eq, 0.00
205 element, 24, 대한PC, element.zno, ZnO, lt, 0.01
206 element, 25, 대한WC-2, element.zno, ZnO, lt, 0.01
207 element, 17, KM-85, element.cr2o3, Cr2O3, lt, 0.01
208 element, 18, LKC-60, element.cr2o3, Cr2O3, lt, 0.01
209 element, 19, KC-009, element.cr2o3, Cr2O3, lt, 0.01
210 element, 20, 성주WA, element.cr2o3, Cr2O3, eq, 0.00
211 element, 21, 성주PA, element.cr2o3, Cr2O3, lt, 0.01
212 element, 22, 대명PB, element.cr2o3, Cr2O3, lt, 0.01
213 element, 23, 대명WC-1, element.cr2o3, Cr2O3, eq, 0.00
214 element, 24, 대한PC, element.cr2o3, Cr2O3, lt, 0.01
215 element, 25, 대한WC-2, element.cr2o3, Cr2O3, lt, 0.01
216 element, 17, KM-85, element.bao, BaO, eq, 0.01
217 element, 18, LKC-60, element.bao, BaO, eq, 0.00
218 element, 19, KC-009, element.bao, BaO, eq, 0.00
219 element, 20, 성주WA, element.bao, BaO, eq, 0.02
220 element, 21, 성주PA, element.bao, BaO, eq, 0.00
221 element, 22, 대명PB, element.bao, BaO, lt, 0.01
222 element, 23, 대명WC-1, element.bao, BaO, eq, 0.00
